Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"LRP2","LDL Receptor Related Protein 2","Protein Coding","P98164","61","GC02M169127","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP2"
"OAT","Ornithine Aminotransferase","Protein Coding","P04181","61","GC10M124397","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAT"
"PFKM","Phosphofructokinase, Muscle","Protein Coding","P08237","61","GC12P048105","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKM"
"PIK3C3","Phosphatidylinositol 3-Kinase Catalytic Subunit Type 3","Protein Coding","Q8NEB9","61","GC18P041955","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C3"
"POMC","Proopiomelanocortin","Protein Coding","P01189","61","GC02M025160","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMC"
"SLC6A4","Solute Carrier Family 6 Member 4","Protein Coding","P31645","61","GC17M030194","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A4"
"ADORA1","Adenosine A1 Receptor","Protein Coding","P30542","60","GC01P203090","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADORA1"
"ADRA2A","Adrenoceptor Alpha 2A","Protein Coding","P08913","60","GC10P111077","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA2A"
"CYP1A1","Cytochrome P450 Family 1 Subfamily A Member 1","Protein Coding","P04798","60","GC15M074719","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A1"
"GABRA2","Gamma-Aminobutyric Acid Type A Receptor Subunit Alpha2","Protein Coding","P47869","60","GC04M046243","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA2"
"GATA6","GATA Binding Protein 6","Protein Coding","Q92908","60","GC18P022169","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA6"
"GNAO1","G Protein Subunit Alpha O1","Protein Coding","P09471","60","GC16P113698","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAO1"
"GNB3","G Protein Subunit Beta 3","Protein Coding","P16520","60","GC12P006839","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB3"
"IL1R1","Interleukin 1 Receptor Type 1","Protein Coding","P14778","60","GC02P102136","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1R1"
"LOX","Lysyl Oxidase","Protein Coding","P28300","60","GC05M122063","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOX"
"NOTCH4","Notch Receptor 4","Protein Coding","Q99466","60","GC06M103368","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH4"
"PCK1","Phosphoenolpyruvate Carboxykinase 1","Protein Coding","P35558","60","GC20P057561","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCK1"
"PKLR","Pyruvate Kinase L/R","Protein Coding","P30613","60","GC01M155289","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKLR"
"PLIN1","Perilipin 1","Protein Coding","O60240","60","GC15M089664","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN1"
"PRKAA1","Protein Kinase AMP-Activated Catalytic Subunit Alpha 1","Protein Coding","Q13131","60","GC05M040759","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA1"
"ABCC8","ATP Binding Cassette Subfamily C Member 8","Protein Coding","Q09428","59","GC11M017392","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8"
"ACAT2","Acetyl-CoA Acetyltransferase 2","Protein Coding","Q9BWD1","59","GC06P175063","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAT2"
"CCKAR","Cholecystokinin A Receptor","Protein Coding","P32238","59","GC04M026483","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCKAR"
"CHRM1","Cholinergic Receptor Muscarinic 1","Protein Coding","P11229","59","GC11M136469","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRM1"
"CYP2E1","Cytochrome P450 Family 2 Subfamily E Member 1","Protein Coding","P05181","59","GC10P133520","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2E1"
"DRD4","Dopamine Receptor D4","Protein Coding","P21917","59","GC11P015741","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD4"
"GABRA4","Gamma-Aminobutyric Acid Type A Receptor Subunit Alpha4","Protein Coding","P48169","59","GC04M046836","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA4"
"HP","Haptoglobin","Protein Coding","P00738","59","GC16P114216","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HP"
"HRH1","Histamine Receptor H1","Protein Coding","P35367","59","GC03P025585","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH1"
"HTR3A","5-Hydroxytryptamine Receptor 3A","Protein Coding","P46098","59","GC11P113975","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR3A"
"PIK3C2B","Phosphatidylinositol-4-Phosphate 3-Kinase Catalytic Subunit Type 2 Beta","Protein Coding","O00750","59","GC01M204422","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C2B"
"RARG","Retinoic Acid Receptor Gamma","Protein Coding","P13631","59","GC12M053210","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARG"
"TCF7L2","Transcription Factor 7 Like 2","Protein Coding","Q9NQB0","59","GC10P112950","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7L2"
"ACACB","Acetyl-CoA Carboxylase Beta","Protein Coding","O00763","58","GC12P109116","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACACB"
"APEX1","Apurinic/Apyrimidinic Endodeoxyribonuclease 1","Protein Coding","P27695","58","GC14P020455","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APEX1"
"APOH","Apolipoprotein H","Protein Coding","P02749","58","GC17M066212","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOH"
"CHKB","Choline Kinase Beta","Protein Coding","Q9Y259","58","GC22M050578","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHKB"
"GYS2","Glycogen Synthase 2","Protein Coding","P54840","58","GC12M034669","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GYS2"
"HNMT","Histamine N-Methyltransferase","Protein Coding","P50135","58","GC02P137964","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNMT"
"HTR1D","5-Hydroxytryptamine Receptor 1D","Protein Coding","P28221","58","GC01M023191","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1D"
"PFKL","Phosphofructokinase, Liver Type","Protein Coding","P17858","58","GC21P044300","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKL"
"AIRE","Autoimmune Regulator","Protein Coding","O43918","57","GC21P044285","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE"
"CCKBR","Cholecystokinin B Receptor","Protein Coding","P32239","57","GC11P006259","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCKBR"
"CRHR1","Corticotropin Releasing Hormone Receptor 1","Protein Coding","P34998","57","GC17P045784","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRHR1"
"CX3CR1","C-X3-C Motif Chemokine Receptor 1","Protein Coding","P49238","57","GC03M039279","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CX3CR1"
"DAO","D-Amino Acid Oxidase","Protein Coding","P14920","57","GC12P108896","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAO"
"GAD2","Glutamate Decarboxylase 2","Protein Coding","Q05329","57","GC10P026216","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAD2"
"GAL","Galanin And GMAP Prepropeptide","Protein Coding","P22466","57","GC11P103539","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAL"
"NPY","Neuropeptide Y","Protein Coding","P01303","57","GC07P024647","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPY"
"PFKP","Phosphofructokinase, Platelet","Protein Coding","Q01813","57","GC10P003066","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKP"
"PRKAG1","Protein Kinase AMP-Activated Non-Catalytic Subunit Gamma 1","Protein Coding","P54619","57","GC12M049002","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAG1"
"SLC12A4","Solute Carrier Family 12 Member 4","Protein Coding","Q9UP95","57","GC16M074048","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A4"
"SSTR3","Somatostatin Receptor 3","Protein Coding","P32745","57","GC22M037204","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSTR3"
"TXNRD2","Thioredoxin Reductase 2","Protein Coding","Q9NNW7","57","GC22M083345","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNRD2"
"ADORA3","Adenosine A3 Receptor","Protein Coding","P0DMS8","56","GC01M111499","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADORA3"
"ADRB3","Adrenoceptor Beta 3","Protein Coding","P13945","56","GC08M037962","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB3"
"APOL1","Apolipoprotein L1","Protein Coding","O14791","56","GC22P036253","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOL1"
"CCK","Cholecystokinin","Protein Coding","P06307","56","GC03M042274","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCK"
"CHRNA7","Cholinergic Receptor Nicotinic Alpha 7 Subunit","Protein Coding","P36544","56","GC15P031923","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA7"
"CRH","Corticotropin Releasing Hormone","Protein Coding","P06850","56","GC08M066176","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRH"
"CRHR2","Corticotropin Releasing Hormone Receptor 2","Protein Coding","Q13324","56","GC07M030651","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRHR2"
"DTNBP1","Dystrobrevin Binding Protein 1","Protein Coding","Q96EV8","56","GC06M015620","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DTNBP1"
"HRH2","Histamine Receptor H2","Protein Coding","P25021","56","GC05P175674","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH2"
"MDH1","Malate Dehydrogenase 1","Protein Coding","P40925","56","GC02P063557","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDH1"
"NPY5R","Neuropeptide Y Receptor Y5","Protein Coding","Q15761","56","GC04P163343","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPY5R"
"PYY","Peptide YY","Protein Coding","P10082","56","GC17M043952","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYY"
"GPLD1","Glycosylphosphatidylinositol Specific Phospholipase D1","Protein Coding","P80108","55","GC06M024566","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPLD1"
"SLC10A1","Solute Carrier Family 10 Member 1","Protein Coding","Q14973","55","GC14M069775","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC10A1"
"TERF2","Telomeric Repeat Binding Factor 2","Protein Coding","Q15554","55","GC16M069355","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERF2"
"ADIPOR2","Adiponectin Receptor 2","Protein Coding","Q86V24","54","GC12P001670","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOR2"
"AOC1","Amine Oxidase Copper Containing 1","Protein Coding","P19801","54","GC07P150824","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOC1"
"HRH3","Histamine Receptor H3","Protein Coding","Q9Y5N1","54","GC20M062214","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH3"
"LIPF","Lipase F, Gastric Type","Protein Coding","P07098","54","GC10P088664","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPF"
"PECAM1","Platelet And Endothelial Cell Adhesion Molecule 1","Protein Coding","P16284","54","GC17M064319","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PECAM1"
"SLC39A7","Solute Carrier Family 39 Member 7","Protein Coding","Q92504","54","GC06P033200","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A7"
"SST","Somatostatin","Protein Coding","P61278","54","GC03M187668","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SST"
"TCAP","Titin-Cap","Protein Coding","O15273","54","GC17P144370","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCAP"
"ANKRD1","Ankyrin Repeat Domain 1","Protein Coding","Q15327","53","GC10M090912","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKRD1"
"HTR6","5-Hydroxytryptamine Receptor 6","Protein Coding","P50406","53","GC01P068649","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR6"
"MC3R","Melanocortin 3 Receptor","Protein Coding","P41968","53","GC20P056248","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC3R"
"MCPH1","Microcephalin 1","Protein Coding","Q8NEM0","53","GC08P006406","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCPH1"
"PIK3C2G","Phosphatidylinositol-4-Phosphate 3-Kinase Catalytic Subunit Type 2 Gamma","Protein Coding","O75747","53","GC12P018242","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C2G"
"TNFAIP6","TNF Alpha Induced Protein 6","Protein Coding","P98066","53","GC02P151357","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP6"
"APOM","Apolipoprotein M","Protein Coding","O95445","51","GC06P173087","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOM"
"CALY","Calcyon Neuron Specific Vesicular Protein","Protein Coding","Q9NYX4","50","GC10M133325","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALY"
"GHRH","Growth Hormone Releasing Hormone","Protein Coding","P01286","50","GC20M037251","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRH"
"OXT","Oxytocin/Neurophysin I Prepropeptide","Protein Coding","P01178","50","GC20P010170","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXT"
"APOL2","Apolipoprotein L2","Protein Coding","Q9BQE5","49","GC22M036226","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOL2"
"TADA2A","Transcriptional Adaptor 2A","Protein Coding","O75478","48","GC17P037406","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TADA2A"
"AVEN","Apoptosis And Caspase Activation Inhibitor","Protein Coding","Q9NQS1","46","GC15M046601","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AVEN"
"APOC4","Apolipoprotein C4","Protein Coding","P55056","45","GC19P143135","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOC4"
"APOF","Apolipoprotein F","Protein Coding","Q13790","45","GC12M060142","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOF"
"APOL3","Apolipoprotein L3","Protein Coding","O95236","45","GC22M083853","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOL3"
"APOL5","Apolipoprotein L5","Protein Coding","Q9BWW9","39","GC22P086809","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOL5"
"LOC130005193","ATAC-STARR-Seq Lymphoblastoid Silent Region 3099","Functional Element","","7","GC11P019837","0.672709107398987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130005193"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","0.636147022247314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"NR1H4","Nuclear Receptor Subfamily 1 Group H Member 4","Protein Coding","Q96RI1","60","GC12P100473","0.636147022247314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H4"
"FADS1","Fatty Acid Desaturase 1","Protein Coding","O60427","55","GC11M061799","0.636147022247314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADS1"
"SNORD24","Small Nucleolar RNA, C/D Box 24","RNA Gene","","25","GC09P133349","0.636147022247314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD24"
"PWAR1","Prader Willi/Angelman Region RNA 1","RNA Gene","","22","GC15P025135","0.636147022247314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PWAR1"
"SNORD44","Small Nucleolar RNA, C/D Box 44","RNA Gene","","21","GC01M175107","0.636147022247314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD44"
"MIR1303","MicroRNA 1303","RNA Gene","","17","GC05P154685","0.636147022247314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1303"
"LSS","Lanosterol Synthase","Protein Coding","P48449","58","GC21M054606","0.606240272521973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSS"
"CCL21","C-C Motif Chemokine Ligand 21","Protein Coding","O00585","54","GC09M034709","0.606240272521973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL21"
"CCL19","C-C Motif Chemokine Ligand 19","Protein Coding","Q99731","53","GC09M035638","0.606240272521973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL19"
"HMGB1","High Mobility Group Box 1","Protein Coding","P09429","62","GC13M030456","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1"
"CCR1","C-C Motif Chemokine Receptor 1","Protein Coding","P32246","57","GC03M046218","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR1"
"CCR4","C-C Motif Chemokine Receptor 4","Protein Coding","P51679","57","GC03P032951","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR4"
"CD63","CD63 Molecule","Protein Coding","P08962","56","GC12M060092","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD63"
"CLCN1","Chloride Voltage-Gated Channel 1","Protein Coding","P35523","56","GC07P143316","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCN1"
"CYP51A1","Cytochrome P450 Family 51 Subfamily A Member 1","Protein Coding","Q16850","56","GC07M092112","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP51A1"
"FOXP2","Forkhead Box P2","Protein Coding","O15409","56","GC07P114086","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP2"
"USF1","Upstream Transcription Factor 1","Protein Coding","P22415","56","GC01M161039","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USF1"
"FOXO4","Forkhead Box O4","Protein Coding","P98177","55","GC0XP071095","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO4"
"CCL3","C-C Motif Chemokine Ligand 3","Protein Coding","P10147","54","GC17M036088","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3"
"BNIP3","BCL2 Interacting Protein 3","Protein Coding","Q12983","53","GC10M131966","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BNIP3"
"CCL4","C-C Motif Chemokine Ligand 4","Protein Coding","P13236","53","GC17P036103","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL4"
"DUSP2","Dual Specificity Phosphatase 2","Protein Coding","Q05923","52","GC02M101986","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP2"
"EGFL7","EGF Like Domain Multiple 7","Protein Coding","Q9UHF1","51","GC09P136658","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFL7"
"CXCL16","C-X-C Motif Chemokine Ligand 16","Protein Coding","Q9H2A7","50","GC17M004733","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL16"
"MIRLET7C","MicroRNA Let-7c","RNA Gene","","30","GC21P020733","0.593149304389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7C"
"TRAPPC11","Trafficking Protein Particle Complex Subunit 11","Protein Coding","Q7Z392","49","GC04P183659","0.545955002307892","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC11"
"DICER1","Dicer 1, Ribonuclease III","Protein Coding","Q9UPY3","61","GC14M095086","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1"
"IRAK1","Interleukin 1 Receptor Associated Kinase 1","Protein Coding","P51617","61","GC0XM154010","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK1"
"MAPK7","Mitogen-Activated Protein Kinase 7","Protein Coding","Q13164","61","GC17P143737","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK7"
"ANXA5","Annexin A5","Protein Coding","P08758","60","GC04M121667","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA5"
"CTSA","Cathepsin A","Protein Coding","P10619","60","GC20P045890","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSA"
"F11","Coagulation Factor XI","Protein Coding","P03951","60","GC04P186424","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F11"
"ACVR2A","Activin A Receptor Type 2A","Protein Coding","P27037","59","GC02P147844","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR2A"
"AQP3","Aquaporin 3 (Gill Blood Group)","Protein Coding","Q92482","59","GC09M033431","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP3"
"GRIK1","Glutamate Ionotropic Receptor Kainate Type Subunit 1","Protein Coding","P39086","59","GC21M029536","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIK1"
"IRF8","Interferon Regulatory Factor 8","Protein Coding","Q02556","59","GC16P114728","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF8"
"KLKB1","Kallikrein B1","Protein Coding","P03952","59","GC04P186414","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLKB1"
"NR4A2","Nuclear Receptor Subfamily 4 Group A Member 2","Protein Coding","P43354","59","GC02M156324","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR4A2"
"GPD2","Glycerol-3-Phosphate Dehydrogenase 2","Protein Coding","P43304","58","GC02P156408","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPD2"
"SORT1","Sortilin 1","Protein Coding","Q99523","58","GC01M109310","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORT1"
"BCAT1","Branched Chain Amino Acid Transaminase 1","Protein Coding","P54687","57","GC12M024810","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAT1"
"CHL1","Cell Adhesion Molecule L1 Like","Protein Coding","O00533","57","GC03P000213","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHL1"
"LGALS3","Galectin 3","Protein Coding","P17931","57","GC14P055124","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS3"
"ABCB5","ATP Binding Cassette Subfamily B Member 5","Protein Coding","Q2M3G0","56","GC07P020615","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB5"
"ALOX5AP","Arachidonate 5-Lipoxygenase Activating Protein","Protein Coding","P20292","56","GC13P030713","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5AP"
"MCFD2","Multiple Coagulation Factor Deficiency 2, ER Cargo Receptor Complex Subunit","Protein Coding","Q8NI22","56","GC02M046901","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCFD2"
"OSM","Oncostatin M","Protein Coding","P13725","56","GC22M030262","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSM"
"CNTN6","Contactin 6","Protein Coding","Q9UQ52","55","GC03P001109","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTN6"
"GCG","Glucagon","Protein Coding","P01275","55","GC02M162142","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCG"
"GRB14","Growth Factor Receptor Bound Protein 14","Protein Coding","Q14449","55","GC02M164492","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRB14"
"POU2F2","POU Class 2 Homeobox 2","Protein Coding","P09086","54","GC19M042086","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU2F2"
"CD68","CD68 Molecule","Protein Coding","P34810","53","GC17P007579","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD68"
"CDK5RAP2","CDK5 Regulatory Subunit Associated Protein 2","Protein Coding","Q96SN8","53","GC09M120388","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5RAP2"
"LMBRD1","LMBR1 Domain Containing 1","Protein Coding","Q9NUN5","52","GC06M103806","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMBRD1"
"SOSTDC1","Sclerostin Domain Containing 1","Protein Coding","Q6X4U4","52","GC07M016467","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOSTDC1"
"WASHC5","WASH Complex Subunit 5","Protein Coding","Q12768","52","GC08M137607","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WASHC5"
"CTCFL","CCCTC-Binding Factor Like","Protein Coding","Q8NI51","51","GC20M057495","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTCFL"
"IL1RAPL2","Interleukin 1 Receptor Accessory Protein Like 2","Protein Coding","Q9NP60","51","GC0XP104566","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RAPL2"
"NSMCE2","NSE2 (MMS21) Homolog, SMC5-SMC6 Complex SUMO Ligase","Protein Coding","Q96MF7","51","GC08P125091","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSMCE2"
"RMI1","RecQ Mediated Genome Instability 1","Protein Coding","Q9H9A7","51","GC09P083980","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RMI1"
"RNGTT","RNA Guanylyltransferase And 5'-Phosphatase","Protein Coding","O60942","51","GC06M088609","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNGTT"
"CCRL2","C-C Motif Chemokine Receptor Like 2","Protein Coding","O00421","50","GC03P046407","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCRL2"
"KIF13B","Kinesin Family Member 13B","Protein Coding","Q9NQT8","50","GC08M029067","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF13B"
"GDF7","Growth Differentiation Factor 7","Protein Coding","Q7Z4P5","49","GC02P020667","0.542145967483521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF7"
